0	52.8
500	0.645538
1000	0.643459
1500	0.635516
2000	0.643445
2500	0.649849
3000	0.64425
3500	0.647602
4000	0.656118
4500	0.652551
5000	0.656003
5500	0.66454
6000	0.656206
6500	0.67137
7000	0.676154
7500	0.66802
8000	0.682059
8500	0.690018
9000	0.68126
9500	0.698095
10000	0.696621
10500	0.694462
11000	0.71157
11500	0.71084
12000	0.710962
12500	0.727282
13000	0.726305
13500	0.726491
14000	0.741168
14500	0.736569
15000	0.740668
15500	0.749688
16000	0.754546
16500	0.757131
17000	0.762865
17500	0.767595
18000	0.770427
18500	0.774764
19000	0.782878
19500	0.786469
20000	0.790424
20500	0.799431
21000	0.797267
21500	0.80377
22000	0.811738
22500	0.810497
23000	0.814321
23500	0.821637
24000	0.820657
24500	0.82628
25000	0.834998
25500	0.834206
26000	0.840447
26500	0.844631
27000	0.846747
27500	0.854213
28000	0.859204
28500	0.859586
29000	0.866518
29500	0.868763
30000	0.870964
30500	0.879819
31000	0.883812
31500	0.885707
32000	0.896372
32500	0.898615
33000	0.900441
33500	0.912937
34000	0.913121
34500	0.916198
35000	0.927037
35500	0.926802
36000	0.930578
36500	0.940833
37000	0.939473
37500	0.9449
38000	0.952703
38500	0.951077
39000	0.957362
39500	0.965286
40000	0.965984

